Category (வகை),Product Name [English] (பொருள் பெயர் [ஆங்கிலம்]),Product Name [Tamil] (பொருள் பெயர் [தமிழ்]),Variant / Pack Size (அளவு),Price in INR (விலை ₹) *[REQUIRED]*,Discount Price in INR (தள்ளுபடி விலை ₹),Description [English] (விளக்கம் [ஆங்கிலம்]) *[REQUIRED]*,Description [Tamil] (விளக்கம் [தமிழ்]) *[REQUIRED]*,Is Organic? (இயற்கையானதா?) [YES / NO],Is Lab Tested? (ஆய்வக சோதனை செய்யப்பட்டதா?) [YES / NO],Stock Available [Quantity] (இருப்பு அளவு) *[REQUIRED]*,Tax / GST % (வரி %)
Oils,Wood Pressed Grountnut Oil,மரச்செக்கு கடலை எண்ணெய்,1L,,,,,YES,YES,100,5
Oils,Wood Pressed Grountnut Oil,மரச்செக்கு கடலை எண்ணெய்,500ML,,,,,YES,YES,100,5
Oils,Wood Pressed Seasame Oil,மரச்செக்கு நல்லெண்ணெய்,1L,,,,,YES,YES,100,5
Oils,Wood Pressed Seasame Oil,மரச்செக்கு நல்லெண்ணெய்,500ML,,,,,YES,YES,100,5
Oils,Wood Pressed Coconut Oil,மரச்செக்கு தேங்காய் எண்ணெய்,1L,,,,,YES,YES,100,5
Oils,Wood Pressed Coconut Oil,மரச்செக்கு தேங்காய் எண்ணெய்,500ML,,,,,YES,YES,100,5
Oils,Castor Oil,ஆமணக்கு எண்ணெய்,1L,,,,,YES,YES,100,5
Oils,Castor Oil,ஆமணக்கு எண்ணெய்,500ML,,,,,YES,YES,100,5
Noodles,Kodo Millet Noodles,வரகு நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Noodles,Little Millet Noodles,சாமை நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Noodles,Barnyard Millet Noodles,குதிரைவாலி நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Noodles,Foxtail Millet Noodles,தினை நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Noodles,Finger Millet Noodles,ராகி நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Noodles,Karupu Kavuni  Rice Noodles,கருப்பு கவுனி நூடுல்ஸ்,PCS,,,,,YES,YES,100,5
Vermicelli,Kodo Millet Vermicelli,வரகு சேமியா,PCS,,,,,YES,YES,100,5
Vermicelli,Little Millet Vermicelli,சாமை சேமியா,PCS,,,,,YES,YES,100,5
Vermicelli,Barnyard Millet Vermicelli,குதிரைவாலி சேமியா,PCS,,,,,YES,YES,100,5
Vermicelli,Foxtail Millet Vermicelli,திணை சேமியா,PCS,,,,,YES,YES,100,5
Vermicelli,Pearl Millet Vermicelli,கம்பு சேமியா,PCS,,,,,YES,YES,100,5
Sweetner,Sugarcane Jaggery Powder,நாட்டு சர்க்கரை,1KG,,,,,YES,YES,100,5
Sweetner,Sugarcane Jaggery Powder,நாட்டு சர்க்கரை,500GM,,,,,YES,YES,100,5
Sweetner,Sugarcane Jaggery Round,உருண்டை வெல்லம்,1KG,,,,,YES,YES,100,5
Sweetner,Sugarcane Jaggery Round,உருண்டை வெல்லம்,500GM,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Round,பனங்கருப்பட்டி,1KG,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Round,பனங்கருப்பட்டி,500GM,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Round,பனங்கருப்பட்டி,250GM,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Crystal,பனங்கற்கண்டு,1KG,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Crystal,பனங்கற்கண்டு,500GM,,,,,YES,YES,100,5
Sweetner,Palm Jaggery Crystal,பனங்கற்கண்டு,250GM,,,,,YES,YES,100,5
Sweetner,Honey,தேன்,1KG,,,,,YES,YES,100,5
Sweetner,Honey,தேன்,500GM,,,,,YES,YES,100,5
Sweetner,Honey,தேன்,250GM,,,,,YES,YES,100,5
Sweetner,Himalayan Powder Salt,இந்துப்பு தூள்,1KG,,,,,YES,YES,100,5
Sweetner,Himalayan Powder Salt,இந்துப்பு தூள்,500GM,,,,,YES,YES,100,5
Sweetner,Himalayan Crystal Salt,இந்துப்பு கல்,1KG,,,,,YES,YES,100,5
Sweetner,Himalayan Crystal Salt,இந்துப்பு கல்,500GM,,,,,YES,YES,100,5
Millets,Kodo Millet Semi Polished,வரகு,1KG,,,,,YES,YES,100,5
Millets,Kodo Millet Semi Polished,வரகு,500GM,,,,,YES,YES,100,5
Millets,Little Millet Semi Polished,சாமை,1KG,,,,,YES,YES,100,5
Millets,Little Millet Semi Polished,சாமை,500GM,,,,,YES,YES,100,5
Millets,Barnyard Millet Semi Polished,குதிரைவாலி,1KG,,,,,YES,YES,100,5
Millets,Barnyard Millet Semi Polished,குதிரைவாலி,500GM,,,,,YES,YES,100,5
Millets,Foxtail Millet Semi Polished,திணை,1KG,,,,,YES,YES,100,5
Millets,Foxtail Millet Semi Polished,திணை,500GM,,,,,YES,YES,100,5
Millets,Browntop Millet Semi Polished,குல சாமை,1KG,,,,,YES,YES,100,5
Millets,Browntop Millet Semi Polished,குல சாமை,500GM,,,,,YES,YES,100,5
Millets,Native Pearl Millet,நாட்டு கம்பு,1KG,,,,,YES,YES,100,5
Millets,Native Pearl Millet,நாட்டு கம்பு,500GM,,,,,YES,YES,100,5
Millets,Native Finger Millet,நாட்டு ராகி,1KG,,,,,YES,YES,100,5
Millets,Native Finger Millet,நாட்டு ராகி,500GM,,,,,YES,YES,100,5
Millets,White Sorghum,வெள்ளை சோளம்,1KG,,,,,YES,YES,100,5
Millets,White Sorghum,வெள்ளை சோளம்,500GM,,,,,YES,YES,100,5
Traditional Rices,Thooyamalli Semi Polished Boiled,தூயமல்லி,1KG,,,,,YES,YES,100,5
Traditional Rices,Thooyamalli Semi Polished Boiled,தூயமல்லி,500GM,,,,,YES,YES,100,5
Traditional Rices,Thooyamalli Fully Polished Boiled,தூயமல்லி,1KG,,,,,YES,YES,100,5
Traditional Rices,Thooyamalli Fully Polished Boiled,தூயமல்லி,500GM,,,,,YES,YES,100,5
Traditional Rices,Athur Kichili Samba Semi Polished Boiled,ஆத்தூர் கிச்சிலி சம்பா,1KG,,,,,YES,YES,100,5
Traditional Rices,Athur Kichili Samba Semi Polished Boiled,ஆத்தூர் கிச்சிலி சம்பா,500GM,,,,,YES,YES,100,5
Traditional Rices,Thanga Samba Semi Polished Boiled,தங்க சம்பா,1KG,,,,,YES,YES,100,5
Traditional Rices,Thanga Samba Semi Polished Boiled,தங்க சம்பா,500GM,,,,,YES,YES,100,5
Traditional Rices,Seeraga Samba Fully Polished Boiled,சீரக சம்பா,1KG,,,,,YES,YES,100,5
Traditional Rices,Seeraga Samba Fully Polished Boiled,சீரக சம்பா,500GM,,,,,YES,YES,100,5
Traditional Rices,Karupu Kavuni Rice Boiled,கருப்பு கவுனி,1KG,,,,,YES,YES,100,5
Traditional Rices,Karupu Kavuni Rice Boiled,கருப்பு கவுனி,500GM,,,,,YES,YES,100,5
